protein1 protein2 combined_score
362663.ECP_0014 362663.ECP_3268 250
362663.ECP_0014 362663.ECP_1727 367
362663.ECP_0014 362663.ECP_3388 360
362663.ECP_0014 362663.ECP_0952 188
362663.ECP_0014 362663.ECP_2475 222
362663.ECP_0014 362663.ECP_3122 556
362663.ECP_0014 362663.ECP_1397 262
362663.ECP_0014 362663.ECP_1900 301
362663.ECP_0014 362663.ECP_3430 730
362663.ECP_0014 362663.ECP_0534 941
362663.ECP_0014 362663.ECP_2532 946
362663.ECP_0014 362663.ECP_0535 220
362663.ECP_0014 362663.ECP_3909 208
362663.ECP_0014 362663.ECP_2530 219
362663.ECP_0014 362663.ECP_2712 559
362663.ECP_0014 362663.ECP_2235 657
362663.ECP_0014 362663.ECP_3640 208
362663.ECP_0014 362663.ECP_2395 199
362663.ECP_0014 362663.ECP_3500 270
362663.ECP_0014 362663.ECP_3402 207
362663.ECP_0014 362663.ECP_2550 643
362663.ECP_0014 362663.ECP_0509 256
362663.ECP_0014 362663.ECP_4000 207
362663.ECP_0014 362663.ECP_0999 472
362663.ECP_0014 362663.ECP_2928 203
362663.ECP_0014 362663.ECP_3530 505
362663.ECP_0014 362663.ECP_4313 568
362663.ECP_0014 362663.ECP_1943 161
362663.ECP_0014 362663.ECP_2671 160
362663.ECP_0014 362663.ECP_2519 179
362663.ECP_0014 362663.ECP_1850 208
362663.ECP_0014 362663.ECP_3694 199
362663.ECP_0014 362663.ECP_1023 643
362663.ECP_0014 362663.ECP_2340 238
362663.ECP_0014 362663.ECP_0555 203
362663.ECP_0014 362663.ECP_0395 272
362663.ECP_0014 362663.ECP_2534 888
362663.ECP_0014 362663.ECP_3401 606
362663.ECP_0014 362663.ECP_3728 218
362663.ECP_0014 362663.ECP_4400 522
362663.ECP_0014 362663.ECP_0638 537
362663.ECP_0014 362663.ECP_0925 256
362663.ECP_0014 362663.ECP_0097 598
362663.ECP_0014 362663.ECP_1601 201
362663.ECP_0014 362663.ECP_0434 151
362663.ECP_0014 362663.ECP_3906 207
362663.ECP_0014 362663.ECP_0492 187
362663.ECP_0014 362663.ECP_2794 253
362663.ECP_0014 362663.ECP_2569 173
362663.ECP_0014 362663.ECP_2916 367
362663.ECP_0014 362663.ECP_1810 284
362663.ECP_0014 362663.ECP_3437 637
362663.ECP_0014 362663.ECP_3448 151
362663.ECP_0014 362663.ECP_1782 559
362663.ECP_0014 362663.ECP_0987 472
362663.ECP_0014 362663.ECP_0176 165
362663.ECP_0014 362663.ECP_1456 163
362663.ECP_0014 362663.ECP_3972 262
362663.ECP_0014 362663.ECP_2722 599
362663.ECP_0014 362663.ECP_2523 232
362663.ECP_0014 362663.ECP_2341 197
362663.ECP_0014 362663.ECP_0552 160
362663.ECP_0014 362663.ECP_0015 999
362663.ECP_0014 362663.ECP_3659 472
362663.ECP_0014 362663.ECP_1631 160
362663.ECP_0014 362663.ECP_2760 339
362663.ECP_0014 362663.ECP_0895 472
362663.ECP_0014 362663.ECP_3554 886
362663.ECP_0014 362663.ECP_0897 667
362663.ECP_0014 362663.ECP_1199 160
362663.ECP_0014 362663.ECP_0735 522
362663.ECP_0014 362663.ECP_2684 220
362663.ECP_0015 362663.ECP_3454 651
362663.ECP_0015 362663.ECP_0484 267
362663.ECP_0015 362663.ECP_3450 163
362663.ECP_0015 362663.ECP_3431 622
362663.ECP_0015 362663.ECP_2595 843
362663.ECP_0015 362663.ECP_2597 224
362663.ECP_0015 362663.ECP_1489 250
362663.ECP_0015 362663.ECP_3314 265
362663.ECP_0015 362663.ECP_3157 263
362663.ECP_0015 362663.ECP_3241 171
362663.ECP_0015 362663.ECP_2109 730
362663.ECP_0015 362663.ECP_4386 388
362663.ECP_0015 362663.ECP_0229 614
362663.ECP_0015 362663.ECP_4425 221
362663.ECP_0015 362663.ECP_3273 282
362663.ECP_0015 362663.ECP_2324 187
362663.ECP_0015 362663.ECP_3630 667
362663.ECP_0015 362663.ECP_2849 218
362663.ECP_0015 362663.ECP_2304 218
362663.ECP_0015 362663.ECP_0741 629
362663.ECP_0015 362663.ECP_1709 160
362663.ECP_0015 362663.ECP_0158 181
362663.ECP_0015 362663.ECP_3407 546
362663.ECP_0015 362663.ECP_0059 224
362663.ECP_0015 362663.ECP_3389 224
362663.ECP_0015 362663.ECP_2659 420
362663.ECP_0015 362663.ECP_4075 282
362663.ECP_0015 362663.ECP_0973 274
362663.ECP_0015 362663.ECP_2532 617
362663.ECP_0015 362663.ECP_0534 861
362663.ECP_0015 362663.ECP_0500 284
362663.ECP_0015 362663.ECP_1900 171
362663.ECP_0015 362663.ECP_2806 614
362663.ECP_0015 362663.ECP_4252 199
362663.ECP_0015 362663.ECP_3430 220
362663.ECP_0015 362663.ECP_0586 651
362663.ECP_0015 362663.ECP_0953 288
362663.ECP_0015 362663.ECP_2235 586
362663.ECP_0015 362663.ECP_4247 428
362663.ECP_0015 362663.ECP_0014 999
362663.ECP_0015 362663.ECP_2614 963
362663.ECP_0015 362663.ECP_3408 224
362663.ECP_0015 362663.ECP_1648 218
362663.ECP_0015 362663.ECP_4352 490
362663.ECP_0015 362663.ECP_3388 237
362663.ECP_0015 362663.ECP_1976 237
362663.ECP_0015 362663.ECP_4196 224
362663.ECP_0015 362663.ECP_4387 718
362663.ECP_0015 362663.ECP_1078 224
362663.ECP_0015 362663.ECP_2727 282
362663.ECP_0015 362663.ECP_1023 629
362663.ECP_0015 362663.ECP_4291 321
362663.ECP_0015 362663.ECP_1710 687
362663.ECP_0015 362663.ECP_1086 237
362663.ECP_0015 362663.ECP_3907 282
362663.ECP_0015 362663.ECP_0037 218
362663.ECP_0015 362663.ECP_2531 855
362663.ECP_0015 362663.ECP_1748 218
362663.ECP_0015 362663.ECP_3163 163
362663.ECP_0015 362663.ECP_2534 290
362663.ECP_0015 362663.ECP_3385 534
362663.ECP_0015 362663.ECP_4268 548
362663.ECP_0015 362663.ECP_3616 250
362663.ECP_0015 362663.ECP_1114 245
362663.ECP_0015 362663.ECP_0999 506
362663.ECP_0015 362663.ECP_0058 331
362663.ECP_0015 362663.ECP_1418 181
362663.ECP_0015 362663.ECP_2550 629
362663.ECP_0015 362663.ECP_3062 237
362663.ECP_0015 362663.ECP_0155 260
362663.ECP_0015 362663.ECP_1682 152
362663.ECP_0015 362663.ECP_0185 428
362663.ECP_0015 362663.ECP_2165 321
362663.ECP_0015 362663.ECP_3060 218
362663.ECP_0015 362663.ECP_3380 321
362663.ECP_0015 362663.ECP_3386 546
362663.ECP_0015 362663.ECP_1708 160
362663.ECP_0015 362663.ECP_2722 224
362663.ECP_0015 362663.ECP_2583 221
362663.ECP_0015 362663.ECP_0552 321
362663.ECP_0015 362663.ECP_1199 321
362663.ECP_0015 362663.ECP_3554 558
362663.ECP_0015 362663.ECP_2772 224
362663.ECP_0015 362663.ECP_1000 465
362663.ECP_0015 362663.ECP_0897 760
362663.ECP_0015 362663.ECP_2038 490
362663.ECP_0015 362663.ECP_1694 163
362663.ECP_0015 362663.ECP_3749 221
362663.ECP_0020 362663.ECP_3388 181
362663.ECP_0020 362663.ECP_2586 237
362663.ECP_0020 362663.ECP_1229 365
362663.ECP_0020 362663.ECP_0021 574
362663.ECP_0021 362663.ECP_0020 574
362663.ECP_0021 362663.ECP_0896 199
362663.ECP_0021 362663.ECP_4417 153
362663.ECP_0022 362663.ECP_3391 998
362663.ECP_0022 362663.ECP_3407 967
362663.ECP_0022 362663.ECP_4193 358
362663.ECP_0022 362663.ECP_3388 376
362663.ECP_0022 362663.ECP_0834 256
362663.ECP_0022 362663.ECP_3382 967
362663.ECP_0022 362663.ECP_0265 309
362663.ECP_0022 362663.ECP_4196 967
362663.ECP_0022 362663.ECP_3272 967
362663.ECP_0022 362663.ECP_3396 967
362663.ECP_0022 362663.ECP_3386 998
362663.ECP_0022 362663.ECP_3389 967
362663.ECP_0022 362663.ECP_0360 774
362663.ECP_0022 362663.ECP_0711 199
362663.ECP_0022 362663.ECP_2599 973
362663.ECP_0022 362663.ECP_2884 376
362663.ECP_0022 362663.ECP_3257 376
362663.ECP_0022 362663.ECP_1259 849
362663.ECP_0022 362663.ECP_1081 967
362663.ECP_0022 362663.ECP_3392 967
362663.ECP_0022 362663.ECP_4447 998
362663.ECP_0022 362663.ECP_4201 376
362663.ECP_0022 362663.ECP_3379 376
362663.ECP_0022 362663.ECP_3400 955
362663.ECP_0022 362663.ECP_2226 967
362663.ECP_0022 362663.ECP_3385 998
362663.ECP_0022 362663.ECP_4448 967
362663.ECP_0022 362663.ECP_4445 998
362663.ECP_0022 362663.ECP_1664 967
362663.ECP_0022 362663.ECP_3401 967
362663.ECP_0022 362663.ECP_4198 955
362663.ECP_0022 362663.ECP_2607 967
362663.ECP_0022 362663.ECP_3403 967
362663.ECP_0022 362663.ECP_4200 379
362663.ECP_0022 362663.ECP_3409 998
362663.ECP_0022 362663.ECP_3394 998
362663.ECP_0022 362663.ECP_4777 256
362663.ECP_0022 362663.ECP_3748 358
362663.ECP_0022 362663.ECP_1663 967
362663.ECP_0022 362663.ECP_0898 294
362663.ECP_0022 362663.ECP_3735 967
362663.ECP_0022 362663.ECP_3429 358
362663.ECP_0022 362663.ECP_3399 998
362663.ECP_0022 362663.ECP_3398 967
362663.ECP_0022 362663.ECP_3374 376
362663.ECP_0022 362663.ECP_3313 998
362663.ECP_0022 362663.ECP_3291 896
362663.ECP_0022 362663.ECP_4055 286
362663.ECP_0022 362663.ECP_4405 376
362663.ECP_0022 362663.ECP_0177 998
362663.ECP_0022 362663.ECP_3397 967
362663.ECP_0022 362663.ECP_3431 998
362663.ECP_0022 362663.ECP_3430 849
362663.ECP_0022 362663.ECP_3406 967
362663.ECP_0022 362663.ECP_2765 376
362663.ECP_0022 362663.ECP_3443 256
362663.ECP_0022 362663.ECP_3253 998
362663.ECP_0022 362663.ECP_4391 376
362663.ECP_0022 362663.ECP_3404 998
362663.ECP_0022 362663.ECP_4199 849
362663.ECP_0022 362663.ECP_3393 967
362663.ECP_0022 362663.ECP_3390 955
362663.ECP_0022 362663.ECP_0359 774
362663.ECP_0022 362663.ECP_4758 376
362663.ECP_0022 362663.ECP_0053 376
362663.ECP_0022 362663.ECP_3734 955
362663.ECP_0022 362663.ECP_2571 849
362663.ECP_0022 362663.ECP_0958 311
362663.ECP_0022 362663.ECP_3692 382
362663.ECP_0022 362663.ECP_4194 376
362663.ECP_0022 362663.ECP_0200 376
362663.ECP_0022 362663.ECP_3395 998
362663.ECP_0022 362663.ECP_4195 376
362663.ECP_0022 362663.ECP_2610 998
362663.ECP_0022 362663.ECP_3408 967
362663.ECP_0022 362663.ECP_4197 965
362663.ECP_0022 362663.ECP_2620 849
362663.ECP_0022 362663.ECP_1665 850
362663.ECP_0022 362663.ECP_3273 967
362663.ECP_0022 362663.ECP_3387 774
362663.ECP_0022 362663.ECP_3155 998
362663.ECP_0022 362663.ECP_0180 853
362663.ECP_0022 362663.ECP_0095 376
362663.ECP_0022 362663.ECP_3384 998
362663.ECP_0022 362663.ECP_3432 998
362663.ECP_0022 362663.ECP_4145 967
362663.ECP_0022 362663.ECP_3256 849
362663.ECP_0022 362663.ECP_3402 998
362663.ECP_0022 362663.ECP_0954 256
362663.ECP_0022 362663.ECP_0922 927
362663.ECP_0022 362663.ECP_3383 376
362663.ECP_0022 362663.ECP_3747 764
362663.ECP_0022 362663.ECP_2933 199
362663.ECP_0022 362663.ECP_3405 967
362663.ECP_0022 362663.ECP_2212 373
362663.ECP_0022 362663.ECP_3314 967
362663.ECP_0023 362663.ECP_2831 265
362663.ECP_0024 362663.ECP_3164 239
362663.ECP_0024 362663.ECP_0737 271
362663.ECP_0024 362663.ECP_1455 584
362663.ECP_0024 362663.ECP_4373 801
362663.ECP_0024 362663.ECP_0918 181
362663.ECP_0024 362663.ECP_3075 584
362663.ECP_0024 362663.ECP_2435 199
362663.ECP_0024 362663.ECP_2340 584
362663.ECP_0024 362663.ECP_1580 584
362663.ECP_0024 362663.ECP_0484 199
362663.ECP_0024 362663.ECP_1822 896
362663.ECP_0024 362663.ECP_0672 935
362663.ECP_0024 362663.ECP_3694 584
362663.ECP_0024 362663.ECP_4200 357
362663.ECP_0024 362663.ECP_0686 218
362663.ECP_0024 362663.ECP_0154 820
362663.ECP_0024 362663.ECP_0204 947
362663.ECP_0024 362663.ECP_4201 357
362663.ECP_0024 362663.ECP_2341 584
362663.ECP_0024 362663.ECP_0325 801
362663.ECP_0024 362663.ECP_2152 967
362663.ECP_0024 362663.ECP_4274 271
362663.ECP_0024 362663.ECP_2422 834
362663.ECP_0024 362663.ECP_0794 199
362663.ECP_0024 362663.ECP_0700 837
362663.ECP_0024 362663.ECP_3311 584
362663.ECP_0024 362663.ECP_2657 395
362663.ECP_0024 362663.ECP_1661 611
362663.ECP_0024 362663.ECP_1456 584
362663.ECP_0024 362663.ECP_3074 584
362663.ECP_0024 362663.ECP_0941 933
362663.ECP_0024 362663.ECP_0852 584
362663.ECP_0024 362663.ECP_2883 801
362663.ECP_0024 362663.ECP_3951 267
362663.ECP_0024 362663.ECP_3346 153
362663.ECP_0024 362663.ECP_4507 416
362663.ECP_0025 362663.ECP_1624 477
362663.ECP_0025 362663.ECP_2690 229
362663.ECP_0026 362663.ECP_2684 453
362663.ECP_0026 362663.ECP_2690 331
362663.ECP_0026 362663.ECP_3077 210
362663.ECP_0026 362663.ECP_2689 210
362663.ECP_0027 362663.ECP_2765 279
362663.ECP_0027 362663.ECP_2520 294
362663.ECP_0027 362663.ECP_1252 288
362663.ECP_0028 362663.ECP_4125 275
362663.ECP_0028 362663.ECP_4148 161
362663.ECP_0028 362663.ECP_4424 266
362663.ECP_0028 362663.ECP_3091 161
362663.ECP_0028 362663.ECP_3461 161
362663.ECP_0029 362663.ECP_1441 294
362663.ECP_0029 362663.ECP_0094 219
362663.ECP_0029 362663.ECP_0440 219
362663.ECP_0029 362663.ECP_2636 286
362663.ECP_0031 362663.ECP_2868 600
362663.ECP_0031 362663.ECP_4499 600
362663.ECP_0031 362663.ECP_0032 999
362663.ECP_0031 362663.ECP_0497 199
362663.ECP_0031 362663.ECP_0399 600
362663.ECP_0031 362663.ECP_4034 600
362663.ECP_0031 362663.ECP_4495 317
362663.ECP_0031 362663.ECP_0581 600
362663.ECP_0032 362663.ECP_0572 284
362663.ECP_0032 362663.ECP_2109 174
362663.ECP_0032 362663.ECP_2864 290
362663.ECP_0032 362663.ECP_4499 600
362663.ECP_0032 362663.ECP_0399 600
362663.ECP_0032 362663.ECP_2531 174
362663.ECP_0032 362663.ECP_4034 600
362663.ECP_0032 362663.ECP_0031 999
362663.ECP_0032 362663.ECP_1710 174
362663.ECP_0032 362663.ECP_4498 301
362663.ECP_0032 362663.ECP_0725 163
362663.ECP_0032 362663.ECP_4495 301
362663.ECP_0032 362663.ECP_0581 600
362663.ECP_0032 362663.ECP_0014 174
362663.ECP_0032 362663.ECP_3740 195
362663.ECP_0032 362663.ECP_0534 265
362663.ECP_0032 362663.ECP_0497 199
362663.ECP_0032 362663.ECP_3259 282
362663.ECP_0032 362663.ECP_2867 284
362663.ECP_0032 362663.ECP_2868 600
362663.ECP_0032 362663.ECP_0499 256
362663.ECP_0032 362663.ECP_4664 284
362663.ECP_0035 362663.ECP_2322 650
362663.ECP_0035 362663.ECP_0884 566
362663.ECP_0035 362663.ECP_2326 650
362663.ECP_0035 362663.ECP_2325 284
362663.ECP_0035 362663.ECP_4465 566
362663.ECP_0035 362663.ECP_0134 155
362663.ECP_0035 362663.ECP_2323 604
362663.ECP_0035 362663.ECP_2683 602
362663.ECP_0035 362663.ECP_2320 602
362663.ECP_0035 362663.ECP_2324 650
362663.ECP_0035 362663.ECP_3603 566
362663.ECP_0035 362663.ECP_1403 602
362663.ECP_0035 362663.ECP_3240 566
362663.ECP_0035 362663.ECP_1380 566
362663.ECP_0035 362663.ECP_2319 200
362663.ECP_0036 362663.ECP_2767 334
362663.ECP_0036 362663.ECP_2261 828
362663.ECP_0036 362663.ECP_3962 154
362663.ECP_0036 362663.ECP_3382 294
362663.ECP_0036 362663.ECP_4432 263
362663.ECP_0036 362663.ECP_3393 280
362663.ECP_0036 362663.ECP_3408 294
362663.ECP_0036 362663.ECP_0039 447
362663.ECP_0036 362663.ECP_0251 381
362663.ECP_0036 362663.ECP_4564 256
362663.ECP_0036 362663.ECP_3391 294
362663.ECP_0036 362663.ECP_2395 991
362663.ECP_0036 362663.ECP_2607 293
362663.ECP_0036 362663.ECP_1663 292
362663.ECP_0036 362663.ECP_0886 154
362663.ECP_0036 362663.ECP_4445 293
362663.ECP_0036 362663.ECP_3399 290
362663.ECP_0036 362663.ECP_2857 697
362663.ECP_0036 362663.ECP_3298 879
362663.ECP_0036 362663.ECP_0079 154
362663.ECP_0036 362663.ECP_4121 256
362663.ECP_0036 362663.ECP_2380 741
362663.ECP_0036 362663.ECP_3272 294
362663.ECP_0036 362663.ECP_1977 255
362663.ECP_0036 362663.ECP_2558 256
362663.ECP_0036 362663.ECP_0991 991
362663.ECP_0036 362663.ECP_3389 294
362663.ECP_0036 362663.ECP_3386 293
362663.ECP_0036 362663.ECP_4563 256
362663.ECP_0036 362663.ECP_3734 293
362663.ECP_0036 362663.ECP_0359 292
362663.ECP_0036 362663.ECP_4197 248
362663.ECP_0036 362663.ECP_2610 294
362663.ECP_0036 362663.ECP_2569 292
362663.ECP_0036 362663.ECP_1124 256
362663.ECP_0036 362663.ECP_1287 204
362663.ECP_0036 362663.ECP_3403 293
362663.ECP_0036 362663.ECP_2379 331
362663.ECP_0036 362663.ECP_3409 245
362663.ECP_0036 362663.ECP_1975 302
362663.ECP_0036 362663.ECP_3313 294
362663.ECP_0036 362663.ECP_3113 216
362663.ECP_0036 362663.ECP_1901 256
362663.ECP_0036 362663.ECP_0177 290
362663.ECP_0036 362663.ECP_3490 256
362663.ECP_0036 362663.ECP_3396 292
362663.ECP_0036 362663.ECP_1329 236
362663.ECP_0036 362663.ECP_1943 241
362663.ECP_0036 362663.ECP_0786 284
362663.ECP_0036 362663.ECP_4058 741
362663.ECP_0036 362663.ECP_2268 712
362663.ECP_0036 362663.ECP_4571 225
